unicode,seal_radical,trad_radical,simp_radical
22574,,土,32.0
22575,垚,土,32.0
22576,,土,32.0
22577,㚔,土,32.0
22578,土,土,32.0
22579,,土,32.0
22580,土,土,32.0
22581,土,土,32.0
22582,,土,32.0
22583,,土,32.0
22584,,土,32.0
22585,,土,32.0
22586,,土,32.0
22587,,土,32.0
22588,,土,32.0
22589,,土,32.0
22590,,土,32.0
22591,,土,32.0
22592,,手,32.0
22593,,土,32.0
22594,,,32.0
22595,,,32.0
22596,,,32.0
22597,,,32.0
22598,,,32.0
22599,,,32.0
22600,土,土,32.0
22601,,土,32.0
22602,土,土,32.0
22603,土,土,32.0
22604,,土,32.0
22605,土,土,32.0
22606,,土,32.0
22607,土,土,32.0
22608,,土,32.0
22609,,土,32.0
22610,土,土,32.0
22611,土,土,32.0
22612,土,土,32.0
22613,,土,32.0
22614,,土,32.0
22615,土,土,32.0
22616,土,土,32.0
22617,土,土,32.0
22618,,土,32.0
22619,,土,32.0
22620,,土,32.0
22621,,土,32.0
22622,土,土,32.0
22623,,土,32.0
22624,,土,32.0
22625,穴,土,32.0
22626,,土,32.0
22627,,土,32.0
22628,,土,32.0
22629,,土,32.0
22630,,土,32.0
22631,,土,32.0
22632,,,32.0
22633,,鹵,32.0
22634,,,32.0
22635,土,土,32.0
22636,,辵,32.0
22637,,,32.0
22638,,,32.0
22639,,土,32.0
22640,,,32.0
22641,,,32.0
22642,,土,32.0
22643,,土,32.0
22644,,土,32.0
22645,麤,土,32.0
22646,,土,32.0
22647,,土,32.0
22648,,土,32.0
22649,土,土,32.0
22650,土,土,32.0
22651,,土,32.0
22652,,土,32.0
22653,,土,32.0
22654,土,土,32.0
22655,土,土,32.0
22656,土,土,32.0
22657,,土,32.0
22658,,土,32.0
22659,土,土,32.0
22660,,土,32.0
22661,,土,32.0
22662,,土,32.0
22663,土,土,32.0
22664,,土,32.0
22665,土,土,32.0
22666,土,土,32.0
22667,,土,32.0
22668,,土,32.0
22669,土,土,32.0
22670,,土,32.0
22671,,土,32.0
22672,土,土,32.0
22673,,土,32.0
22674,,土,32.0
22675,土,土,32.0
22676,,土,32.0
22677,,土,32.0
22678,,土,32.0
22679,,土,32.0
22680,,,32.0
22681,嗇,土,32.0
22682,,,32.0
22683,,,32.0
22684,土,土,32.0
22685,,土,32.0
22686,土,土,32.0
22687,丘,土,32.0
22688,土,土,32.0
22689,,土,32.0
22690,,土,32.0
22691,土,土,32.0
22692,,土,32.0
22693,,土,32.0
22694,,土,32.0
22695,,土,32.0
22696,土,土,203.0
22697,,土,32.0
22698,,土,32.0
22699,士,土,32.0
22700,土,土,32.0
22701,,土,32.0
22702,阜,土,32.0
22703,,土,32.0
22704,,土,32.0
22705,,土,32.0
22706,,土,32.0
22707,土,土,32.0
22708,,土,32.0
22709,,土,32.0
22710,,,32.0
22711,,土,32.0
22712,,,32.0
22713,,,32.0
22714,土,土,32.0
22715,,土,32.0
22716,土,土,32.0
22717,土,土,32.0
22718,土,土,32.0
22719,,土,32.0
22720,,土,32.0
22721,土,土,32.0
22722,,土,32.0
22723,,土,32.0
22724,,土,32.0
22725,隹,土,32.0
22726,,土,32.0
22727,土,土,32.0
22728,,土,32.0
22729,,土,32.0
22730,,土,32.0
22731,,,32.0
22732,,土,32.0
22733,,土,32.0
22734,土,土,32.0
22735,,土,32.0
22736,土,土,32.0
22737,𣦼,土,32.0
22738,土,土,32.0
22739,土,土,32.0
22740,土,土,32.0
22741,,土,32.0
22742,,土,32.0
22743,,,32.0
22744,土,土,32.0
22745,土,土,32.0
22746,土,土,32.0
22747,門,土,32.0
22748,,土,32.0
22749,,土,32.0
22750,土,土,32.0
22751,土,土,32.0
22752,土,土,32.0
22753,𣦼,土,29.0
22754,,土,32.0
22755,,土,32.0
22756,土,土,32.0
22757,,,32.0
22758,,土,32.0
22759,,土,32.0
22760,,土,32.0
22761,,土,32.0
22762,,,32.0
22763,士,士,33.0
22764,壬,士,33.0
22765,,,33.0
22766,士,士,33.0
22767,士,士,33.0
22768,耳,士,33.0
22769,,士,33.0
22770,,貝,33.0
22771,殳,士,33.0
22772,壴,士,33.0
22773,,士,33.0
22774,壺,士,33.0
22775,壺,士,33.0
22776,囗,士,33.0
22777,壹,士,33.0
22778,壺,士,33.0
22779,士,士,33.0
22780,囗,士,33.0
22781,老,士,33.0
22782,,士,33.0
22783,士,士,33.0
22784,老,士,33.0
22785,,士,33.0
22786,夂,夂,34.0
22787,夂,夂,34.0
22788,几,几,34.0
22789,夂,夂,34.0
22790,夂,夂,34.0
22791,人,人,34.0
22792,,夂,34.0
22793,,,35.0
22794,夊,夊,35.0
22795,夊,夊,35.0
22796,夊,夊,35.0
22797,夊,夊,35.0
22798,夊,夊,35.0
22799,夊,夊,35.0
22800,𥄎,夊,35.0
22801,,火,35.0
22802,夊,夊,35.0
22803,夊,,35.0
22804,夊,,35.0
22805,夕,夕,36.0
22806,夕,夕,36.0
22807,夕,夕,36.0
22808,夕,夕,36.0
22809,夕,夕,36.0
22810,多,夕,36.0
22811,,夕,36.0
22812,夕,夕,36.0
22813,夕,夕,36.0
22814,,,36.0
22815,,夕,36.0
22816,,夕,36.0
22817,,夕,36.0
22818,夕,夕,36.0
22819,,夕,36.0
22820,夕,夕,36.0
22821,多,夕,36.0
22822,,夕,36.0
22823,大,大,37.0
22824,夨,大,37.0
22825,一,大,37.0
22826,水,大,37.0
22827,夫,大,37.0
22828,又,大,37.0
22829,夭,大,37.0
22830,冂,大,37.0
22831,,大,37.0
22832,夰,大,37.0
22833,手,大,37.0
22834,夲,大,37.0
22835,水,大,37.0
22836,頁,頁,37.0
22837,,大,37.0
22838,比,大,37.0
22839,大,大,37.0
22840,大,大,37.0
22841,大,大,37.0
22842,奞,大,37.0
22843,,,37.0
22844,,,37.0
22845,大,大,37.0
22846,大,大,37.0
22847,,大,37.0
22848,,大,37.0
22849,竹,大,37.0
22850,廾,大,37.0
22851,大,大,37.0
22852,大,大,37.0
22853,大,大,37.0
22854,,大,37.0
22855,可,大,37.0
22856,木,大,37.0
22857,廾,大,37.0
22858,夨,大,37.0
22859,奞,大,37.0
22860,,黑,37.0
22861,,食,37.0
22862,大,大,37.0
22863,夲,大,37.0
22864,廾,大,37.0
22865,大,大,37.0
22866,,大,37.0
22867,奢,大,37.0
22868,夭,大,37.0
22869,亣,大,37.0
22870,犬,大,37.0
22871,,大,37.0
22872,亣,大,37.0
22873,,大,37.0
22874,亣,大,37.0
22875,,大,37.0
22876,,大,37.0
22877,,大,37.0
22878,奞,大,37.0
22879,,大,37.0
22880,丌,大,37.0
22881,夰,大,37.0
22882,奢,大,37.0
22883,,大,37.0
22884,,大,37.0
22885,宀,大,37.0
22886,,大,37.0
22887,宀,大,37.0
22888,,犬,37.0
22889,竹,大,37.0
22890,奞,大,37.0
22891,,大,37.0
22892,犬,大,37.0
22893,皕,大,37.0
22894,奞,大,37.0
22895,大,大,37.0
22896,亣,大,37.0
22897,𠬜,大,37.0
22898,奢,大,37.0
22899,女,女,38.0
22900,女,女,38.0
22901,,女,38.0
22902,,女,38.0
22903,,女,38.0
22904,女,女,38.0
22905,,女,38.0
22906,女,女,38.0
22907,女,女,38.0
22908,女,女,38.0
22909,女,女,38.0
22910,,女,38.0
22911,丸,女,38.0
22912,女,女,38.0
22913,女,女,38.0
22914,女,女,38.0
22915,女,女,38.0
22916,女,女,38.0
22917,,女,38.0
22918,女,女,38.0
22919,女,女,38.0
22920,,女,38.0
22921,女,女,38.0
22922,女,女,38.0
22923,,女,38.0
22924,女,女,38.0
22925,女,女,38.0
22926,女,女,38.0
22927,,女,38.0
22928,,女,38.0
22929,,女,38.0
22930,女,女,38.0
22931,女,女,38.0
22932,,女,38.0
22933,,女,38.0
22934,示,女,38.0
22935,女,女,38.0
22936,女,女,38.0
22937,目,女,38.0
22938,,女,38.0
22939,,女,38.0
22940,女,女,38.0
22941,女,女,38.0
22942,,女,38.0
22943,女,女,38.0
22944,,女,38.0
22945,,女,38.0
22946,,女,38.0
22947,女,女,38.0
22948,,女,38.0
22949,女,女,38.0
22950,,女,38.0
22951,,女,38.0
22952,女,女,38.0
22953,女,女,38.0
22954,女,女,38.0
22955,女,女,38.0
22956,女,女,38.0
22957,女,女,38.0
22958,,女,38.0
22959,女,女,38.0
22960,,女,38.0
22961,,女,38.0
22962,女,女,38.0
22963,,女,38.0
22964,女,女,38.0
22965,女,女,38.0
22966,,女,38.0
22967,,女,38.0
22968,女,女,38.0
22969,女,女,38.0
22970,,女,38.0
22971,女,女,38.0
22972,,女,38.0
22973,,女,38.0
22974,䇂,女,38.0
22975,女,女,38.0
22976,,女,38.0
22977,女,女,38.0
22978,女,女,38.0
22979,,女,38.0
22980,,女,38.0
22981,女,女,38.0
22982,女,女,38.0
22983,,女,38.0
22984,,女,38.0
22985,女,女,38.0
22986,女,女,38.0
22987,女,女,38.0
22988,女,女,38.0
22989,女,女,38.0
22990,女,女,38.0
22991,,女,38.0
22992,女,女,38.0
22993,女,女,38.0
22994,,女,38.0
22995,女,女,38.0
22996,女,女,38.0
22997,女,女,38.0
22998,,女,38.0
22999,女,女,38.0
23000,女,女,38.0
23001,女,女,38.0
23002,女,女,38.0
23003,女,女,38.0
23004,女,女,38.0
23005,女,女,38.0
23006,女,女,38.0
23007,,女,38.0
23008,,女,38.0
23009,女,女,38.0
23010,女,女,38.0
23011,女,女,38.0
23012,女,女,38.0
23013,,女,38.0
23014,女,女,38.0
23015,,女,38.0
23016,女,女,38.0
23017,,女,38.0
23018,女,女,38.0
23019,,女,38.0
23020,女,女,38.0
23021,,女,38.0
23022,,女,38.0
23023,,女,38.0
23024,女,女,38.0
23025,,女,38.0
23026,,女,38.0
23027,,女,38.0
23028,,女,38.0
23029,,女,38.0
23030,女,女,38.0
23031,女,女,38.0
23032,女,女,38.0
23033,女,女,38.0
23034,女,女,38.0
23035,女,女,38.0
23036,女,女,38.0
23037,女,女,38.0
23038,,女,38.0
23039,女,女,38.0
23040,女,女,38.0
23041,女,女,38.0
23042,,女,38.0
23043,女,女,38.0
23044,女,女,119.0
23045,,女,38.0
23046,女,女,38.0
23047,女,女,38.0
23048,女,女,38.0
23049,女,女,38.0
23050,,女,38.0
23051,女,女,38.0
23052,,女,38.0
23053,,女,38.0
23054,女,女,38.0
23055,,女,38.0
23056,,女,38.0
23057,女,女,38.0
23058,女,女,38.0
23059,女,女,38.0
23060,,女,38.0
23061,女,女,38.0
23062,,女,38.0
23063,女,女,38.0
23064,女,女,38.0
23065,女,女,38.0
23066,,女,38.0
23067,女,女,38.0
23068,,女,38.0
23069,女,女,38.0
23070,,女,38.0
23071,女,女,38.0
23072,女,女,38.0
23073,,女,38.0
23074,,女,38.0
23075,女,女,38.0
23076,,女,38.0
23077,女,女,38.0
23078,,女,38.0
23079,女,女,38.0
23080,,女,38.0
23081,,女,38.0
23082,,女,38.0
23083,,女,38.0
23084,,女,38.0
23085,女,女,38.0
23086,,女,38.0
23087,,女,38.0
23088,,女,38.0
23089,女,女,38.0
23090,女,女,38.0
23091,,,38.0
23092,女,女,38.0
23093,,女,38.0
23094,女,女,38.0
23095,女,女,38.0
23096,女,女,38.0
23097,女,女,38.0
23098,女,女,38.0
23099,,女,38.0
23100,,女,38.0
23101,女,女,38.0
23102,,女,38.0
23103,女,女,38.0
23104,女,女,38.0
23105,女,女,38.0
23106,,女,38.0
23107,,女,38.0
23108,,女,38.0
23109,,女,38.0
23110,女,女,38.0
23111,,女,38.0
23112,,女,38.0
23113,女,女,38.0
23114,,女,38.0
23115,,女,38.0
23116,,女,38.0
23117,,女,38.0
23118,女,女,38.0
23119,兔,女,38.0
23120,女,女,38.0
23121,,女,38.0
23122,,女,38.0
23123,女,女,38.0
23124,女,女,38.0
23125,女,女,38.0
23126,,女,38.0
23127,女,女,38.0
23128,,女,38.0
23129,,女,38.0
23130,女,女,38.0
23131,,女,38.0
23132,女,女,38.0
23133,,女,38.0
23134,女,女,38.0
23135,女,女,38.0
23136,女,女,38.0
23137,,女,38.0
23138,女,女,38.0
23139,女,女,38.0
23140,女,女,38.0
23141,女,女,38.0
23142,女,女,38.0
23143,女,女,38.0
23144,,女,38.0
23145,,女,38.0
23146,女,女,38.0
23147,,女,38.0
23148,女,女,38.0
23149,,女,38.0
23150,,女,38.0
23151,,女,38.0
23152,,女,38.0
23153,女,女,38.0
23154,,,38.0
23155,女,女,38.0
23156,女,女,38.0
23157,女,女,38.0
23158,,女,38.0
23159,,女,38.0
23160,,女,38.0
23161,,女,38.0
23162,女,女,38.0
23163,,女,38.0
23164,女,女,38.0
23165,,女,38.0
23166,女,女,38.0
23167,士,女,38.0
23168,,女,38.0
23169,女,女,38.0
23170,,女,38.0
23171,,女,38.0
23172,女,女,38.0
23173,女,女,38.0
23174,女,女,38.0
23175,,女,38.0
23176,,女,38.0
23177,,女,38.0
23178,女,女,38.0
23179,,女,38.0
23180,女,女,38.0
23181,,女,38.0
23182,,女,38.0
23183,,女,38.0
23184,女,女,38.0
23185,,女,38.0
23186,女,女,38.0
23187,,女,38.0
23188,,女,38.0
23189,女,女,38.0
23190,,女,38.0
23191,,女,38.0
23192,,女,38.0
23193,,女,38.0
23194,女,女,38.0
23195,女,女,38.0
23196,,女,38.0
23197,,女,38.0
23198,女,女,38.0
23199,女,女,38.0
23200,心,女,38.0
23201,,女,38.0
23202,女,女,38.0
23203,女,女,38.0
23204,,女,38.0
23205,女,女,38.0
23206,女,女,38.0
23207,女,女,38.0
23208,女,女,38.0
23209,,女,38.0
23210,女,女,38.0
23211,,女,38.0
23212,,,38.0
23213,女,女,38.0
23214,女,女,38.0
23215,女,女,38.0
23216,女,女,38.0
23217,女,女,38.0
23218,女,女,38.0
23219,,女,38.0
23220,,女,38.0
23221,,女,38.0
23222,,女,38.0
23223,,女,38.0
23224,,女,38.0
23225,,女,38.0
23226,,女,38.0
23227,女,女,38.0
23228,女,女,38.0
23229,,女,38.0
23230,女,女,38.0
23231,女,女,38.0
23232,,女,38.0
23233,女,女,38.0
23234,女,女,38.0
23235,,女,38.0
23236,女,女,38.0
23237,,女,38.0
23238,,女,38.0
23239,女,女,38.0
23240,女,女,38.0
23241,人,女,38.0
23242,,女,38.0
23243,女,女,38.0
23244,女,女,38.0
23245,,女,38.0
23246,,女,38.0
23247,,女,38.0
23248,,女,38.0
23249,,,38.0
23250,,,38.0
23251,,,38.0
23252,女,女,38.0
23253,,女,38.0
23254,女,女,38.0
23255,女,女,38.0
23256,,女,38.0
23257,女,女,38.0
23258,女,女,38.0
23259,女,女,38.0
23260,,女,38.0
23261,,女,38.0
23262,,女,38.0
23263,,女,38.0
23264,女,女,38.0
23265,女,女,38.0
23266,女,女,38.0
23267,女,女,38.0
23268,,女,38.0
23269,女,女,38.0
23270,,女,38.0
23271,女,女,38.0
23272,,女,38.0
23273,女,女,38.0
23274,女,女,38.0
23275,女,女,38.0
23276,,女,38.0
23277,,女,38.0
23278,,女,38.0
23279,女,女,38.0
23280,,女,38.0
23281,女,女,38.0
23282,,女,38.0
23283,女,女,38.0
23284,女,女,38.0
23285,女,女,38.0
23286,,女,38.0
23287,女,女,38.0
23288,女,女,38.0
23289,,女,38.0
23290,女,女,38.0
23291,女,女,38.0
23292,女,女,38.0
23293,女,女,38.0
23294,,女,38.0
23295,女,女,38.0
23296,女,女,38.0
23297,,女,38.0
23298,,女,38.0
23299,女,女,38.0
23300,,女,38.0
23301,,女,38.0
23302,,女,38.0
23303,,女,38.0
23304,女,女,38.0
23305,女,女,38.0
23306,,女,38.0
23307,女,女,38.0
23308,女,女,38.0
23309,,女,38.0
23310,女,女,38.0
23311,,女,38.0
23312,女,女,38.0
23313,,女,38.0
23314,女,女,38.0
23315,,女,38.0
23316,女,女,38.0
23317,,女,38.0
23318,女,女,38.0
23319,女,女,38.0
23320,,女,38.0
23321,女,女,38.0
23322,,女,38.0
23323,女,女,38.0
23324,,女,38.0
23325,,女,38.0
23326,,女,38.0
23327,,女,38.0
23328,,女,38.0
23329,,,38.0
23330,,女,38.0
23331,,女,38.0
23332,,女,38.0
23333,女,女,38.0
23334,,女,38.0
23335,,女,38.0
23336,,女,38.0
23337,女,女,38.0
23338,女,女,38.0
23339,,女,38.0
23340,女,女,38.0
23341,,女,38.0
23342,女,女,38.0
23343,女,女,38.0
23344,女,女,38.0
23345,,女,38.0
23346,,女,38.0
23347,,女,38.0
23348,女,女,38.0
23349,,女,38.0
23350,,,38.0
23351,,女,38.0
23352,,女,38.0
23353,女,女,38.0
23354,,女,38.0
23355,女,女,38.0
23356,,女,38.0
23357,女,女,38.0
23358,女,女,38.0
23359,女,女,38.0
23360,,女,38.0
23361,女,女,38.0
23362,女,女,38.0
23363,女,女,38.0
23364,,女,38.0
23365,女,女,38.0
23366,,女,38.0
23367,,女,38.0
23368,女,女,38.0
23369,,女,38.0
23370,,女,38.0
23371,,女,38.0
23372,女,女,38.0
23373,,女,38.0
23374,女,女,38.0
23375,,女,38.0
23376,子,子,39.0
23377,了,子,39.0
23378,了,子,39.0
23379,了,子,39.0
23380,𠃉,子,39.0
23381,子,子,39.0
23382,,子,39.0
23383,子,子,39.0
23384,子,子,39.0
23385,系,子,39.0
23386,爪,子,39.0
23387,𣎵,子,39.0
23388,攴,子,39.0
23389,老,子,39.0
23390,,子,39.0
23391,子,子,39.0
23392,冊,子,39.0
23393,,子,39.0
23394,,子,39.0
23395,子,子,39.0
23396,子,子,39.0
23397,,子,39.0
23398,教,子,39.0
23399,,,39.0
23400,孨,子,39.0
23401,口,子,39.0
23402,子,子,39.0
23403,系,子,39.0
23404,,子,39.0
23405,,,39.0
23406,,子,39.0
23407,,子,39.0
23408,丮,子,39.0
23409,孨,子,39.0
23410,,子,39.0
23411,子,子,39.0
23412,孨,子,39.0
23413,,子,39.0
23414,子,,39.0
23415,,子,39.0
23416,教,子,39.0
23417,,子,39.0
23418,子,子,39.0
23419,,子,39.0
23420,子,子,39.0
23421,子,子,39.0
23422,,子,39.0
23423,子,子,39.0
23424,宀,宀,40.0
23425,宁,宀,40.0
23426,宀,宀,40.0
23427,它,宀,40.0
23428,宀,宀,40.0
23429,宀,宀,40.0
23430,,宀,40.0
23431,宀,宀,40.0
23432,宀,宀,40.0
23433,宀,宀,40.0
23434,,宀,40.0
23435,宀,宀,40.0
23436,宀,宀,40.0
23437,,宀,40.0
23438,,宀,40.0
23439,宀,宀,40.0
23440,宀,宀,40.0
23441,,宀,40.0
23442,,宀,40.0
23443,宀,宀,40.0
23444,宀,宀,40.0
23445,宀,宀,40.0
23446,宀,宀,40.0
23447,宀,宀,40.0
23448,𠂤,宀,40.0
23449,宀,宀,40.0
23450,宀,宀,40.0
23451,宀,宀,40.0
23452,宀,宀,40.0
23453,宀,宀,40.0
23454,宀,宀,40.0
23455,,宀,40.0
23456,宀,宀,40.0
23457,釆,宀,40.0
23458,宀,宀,40.0
23459,宀,宀,40.0
23460,宀,宀,40.0
23461,宀,宀,40.0
23462,宀,宀,40.0
23463,宀,宀,40.0
23464,,宀,40.0
23465,,宀,40.0
23466,心,宀,40.0
23467,宮,宀,40.0
23468,宀,宀,40.0
23469,宀,宀,40.0
23470,宮,宀,40.0
23471,,宀,40.0
23472,宀,宀,40.0
23473,,宀,40.0
23474,宀,宀,40.0
23475,宀,宀,40.0
23476,宀,宀,40.0
23477,宀,宀,40.0
23478,宀,宀,40.0
23479,釆,宀,40.0
23480,宀,宀,40.0
23481,宀,宀,40.0
23482,,宀,40.0
23483,山,宀,40.0
23484,攴,宀,40.0
23485,宀,宀,40.0
23486,貝,貝,40.0
23487,宀,宀,40.0
23488,宀,宀,40.0
23489,宀,宀,40.0
23490,宀,宀,40.0
23491,,宀,40.0
23492,宀,宀,40.0
23493,寅,宀,40.0
23494,山,宀,40.0
23495,攴,宀,40.0
23496,,宀,40.0
23497,冂,,40.0
23498,,宀,40.0
23499,,宀,40.0
23500,宀,宀,40.0
23501,宀,宀,40.0
23502,㝱,宀,40.0
23503,宀,宀,40.0
23504,㝱,宀,40.0
23505,宀,宀,40.0
23506,宀,宀,40.0
23507,宀,宀,40.0
23508,宀,宀,40.0
23509,丂,宀,40.0
23510,水,宀,40.0
23511,用,宀,40.0
23512,宀,宀,40.0
23513,,宀,40.0
23514,宀,宀,40.0
23515,,宀,40.0
23516,,宀,40.0
23517,㝱,宀,40.0
23518,口,宀,40.0
23519,宀,宀,40.0
23520,宀,宀,40.0
23521,宀,宀,40.0
23522,㝱,宀,40.0
23523,㝱,宀,40.0
23524,㝱,宀,40.0
23525,广,宀,40.0
23526,宀,宀,40.0
23527,丂,宀,40.0
23528,木,宀,40.0
23529,釆,宀,40.0
23530,宀,宀,40.0
23531,宀,宀,40.0
23532,宀,宀,40.0
23533,,宀,40.0
23534,穴,宀,40.0
23535,,宀,40.0
23536,宀,宀,40.0
23537,㝱,宀,40.0
23538,,宀,40.0
23539,宀,宀,40.0
23540,宀,宀,40.0
23541,宀,宀,40.0
23542,宀,宀,40.0
23543,宀,宀,40.0
23544,寸,寸,41.0
23545,丵,寸,41.0
23546,寸,寸,41.0
23547,寸,寸,41.0
23548,寸,寸,41.0
23549,𠬪,寸,41.0
23550,,寸,41.0
23551,老,士,41.0
23552,,寸,41.0
23553,土,寸,41.0
23554,寸,寸,41.0
23555,寸,寸,41.0
23556,矢,寸,41.0
23557,,寸,41.0
23558,寸,寸,41.0
23559,寸,寸,41.0
23560,寸,寸,41.0
23561,火,寸,41.0
23562,酋,寸,41.0
23563,寸,寸,41.0
23564,壴,寸,41.0
23565,丵,寸,41.0
23566,寸,寸,41.0
23567,小,小,42.0
23568,小,小,42.0
23569,小,小,42.0
23570,八,小,42.0
23571,八,小,42.0
23572,八,爻,42.0
23573,,,42.0
23574,金,小,42.0
23575,尗,小,42.0
23576,麤,小,42.0
23577,八,小,42.0
23578,八,小,42.0
23579,,小,42.0
23580,,小,42.0
23581,旨,口,42.0
23582,火,小,42.0
23583,是,小,42.0
23584,是,小,42.0
23585,,,42.0
23586,𡯁,尢,43.0
23587,𡯁,尢,43.0
23588,乙,尢,43.0
23589,𡯁,尢,43.0
23590,𡯁,尢,43.0
23591,垚,土,43.0
23592,犬,尢,43.0
23593,𡯁,尢,43.0
23594,𡯁,尢,43.0
23595,,尢,43.0
23596,𡯁,尢,43.0
23597,,土,43.0
23598,,尢,43.0
23599,,尢,43.0
23600,,尢,43.0
23601,京,尢,43.0
23602,𡯁,尢,43.0
23603,𡯁,尢,43.0
23604,𡯁,尢,43.0
23605,,尢,43.0
23606,𡯁,尢,43.0
23607,𡯁,尢,43.0
23608,尸,尸,44.0
23609,又,尸,4.0
23610,尺,尸,44.0
23611,尸,尸,44.0
23612,尸,尸,44.0
23613,皿,尸,44.0
23614,尾,尸,44.0
23615,尾,尸,44.0
23616,口,尸,44.0
23617,,尸,44.0
23618,尸,尸,44.0
23619,,尸,44.0
23620,,尸,44.0
23621,尸,尸,44.0
23622,尸,尸,44.0
23623,,尸,44.0
23624,尾,尸,44.0
23625,,尸,44.0
23626,尸,尸,44.0
23627,尸,尸,44.0
23628,,尸,44.0
23629,尸,尸,44.0
23630,艸,尸,44.0
23631,尸,尸,44.0
23632,履,尸,44.0
23633,尸,尸,44.0
23634,尸,尸,44.0
23635,,尸,44.0
23636,丘,尸,44.0
23637,尸,尸,44.0
23638,尸,尸,44.0
23639,,,44.0
23640,,,44.0
23641,,尸,44.0
23642,雨,尸,44.0
23643,尸,尸,44.0
23644,,尸,44.0
23645,尸,尸,44.0
23646,尾,尸,44.0
23647,尸,尸,44.0
23648,尸,尸,44.0
23649,尸,尸,44.0
23650,尸,尸,44.0
23651,革,尸,44.0
23652,尸,尸,44.0
23653,履,尸,44.0
23654,履,尸,44.0
23655,尸,尸,44.0
23656,履,尸,44.0
23657,履,尸,44.0
23658,,尸,44.0
23659,,尸,44.0
23660,尾,尸,44.0
23661,,尸,44.0
23662,屮,屮,45.0
23663,屮,屮,45.0
23664,干,屮,45.0
23665,山,山,46.0
23666,,,46.0
23667,,山,46.0
23668,,山,46.0
23669,屵,山,46.0
23670,,曰,46.0
23671,,,46.0
23672,,山,46.0
23673,,山,46.0
23674,山,,46.0
23675,,山,46.0
23676,,山,46.0
23677,,山,46.0
23678,屾,山,46.0
23679,山,山,46.0
23680,出,凵,46.0
23681,步,止,46.0
23682,豈,豆,46.0
23683,,,46.0
23684,,山,46.0
23685,,山,46.0
23686,,山,46.0
23687,,山,46.0
23688,,山,46.0
23689,,山,46.0
23690,山,山,46.0
23691,山,山,46.0
23692,山,山,46.0
23693,,山,46.0
23694,,山,46.0
23695,,山,46.0
23696,邑,山,46.0
23697,山,山,46.0
23698,,山,46.0
23699,,山,46.0
23700,,山,46.0
23701,,山,46.0
23702,阜,山,46.0
23703,山,山,46.0
23704,,山,46.0
23705,,,46.0
23706,山,山,46.0
23707,山,山,46.0
23708,,,46.0
23709,,山,46.0
23710,,山,46.0
23711,,山,46.0
23712,,山,46.0
23713,山,山,46.0
23714,,山,46.0
23715,,山,46.0
23716,,山,46.0
23717,,山,46.0
23718,,山,46.0
23719,,山,46.0
23720,山,山,46.0
23721,品,山,46.0
23722,山,山,46.0
23723,山,山,46.0
23724,,山,46.0
23725,山,山,46.0
23726,,山,46.0
23727,,山,46.0
23728,,山,46.0
23729,山,山,46.0
23730,,山,46.0
23731,山,山,46.0
23732,,山,46.0
23733,山,山,46.0
23734,,山,46.0
23735,山,山,46.0
23736,屵,山,46.0
23737,,山,46.0
23738,,山,46.0
23739,,山,46.0
23740,,,46.0
23741,,,46.0
23742,,,46.0
23743,,山,46.0
23744,邑,山,46.0
23745,,,46.0
23746,,,46.0
23747,山,山,46.0
23748,山,山,46.0
23749,,,46.0
23750,,山,46.0
23751,,山,46.0
23752,,山,46.0
23753,,山,46.0
23754,,山,46.0
23755,山,山,46.0
23756,,山,46.0
23757,,山,46.0
23758,,山,46.0
23759,,山,46.0
23760,,山,46.0
23761,,山,46.0
23762,,山,46.0
23763,,山,46.0
23764,,山,46.0
23765,日,山,46.0
23766,,山,46.0
23767,,山,46.0
23768,,山,46.0
23769,,山,46.0
23770,,山,46.0
23771,,山,46.0
23772,,山,46.0
23773,,山,46.0
23774,,山,46.0
23775,,山,46.0
23776,,,46.0
23777,阜,山,46.0
23778,,,46.0
23779,山,山,46.0
23780,山,山,46.0
23781,山,山,46.0
23782,山,山,46.0
23783,,,46.0
23784,山,山,46.0
23785,山,山,46.0
23786,,山,46.0
23787,,山,46.0
23788,,山,46.0
23789,阜,山,46.0
23790,,山,46.0
23791,山,山,46.0
23792,山,山,46.0
23793,山,山,46.0
23794,,山,46.0
23795,,山,46.0
23796,,山,46.0
23797,,山,46.0
23798,山,山,46.0
23799,,山,46.0
23800,,山,46.0
23801,,山,46.0
23802,,山,46.0
23803,山,山,46.0
23804,山,山,46.0
23805,阜,山,46.0
23806,,山,46.0
23807,,山,46.0
23808,,山,46.0
23809,,,46.0
23810,,山,46.0
23811,,山,46.0
23812,,山,46.0
23813,,,46.0
23814,,山,46.0
23815,山,山,46.0
23816,山,山,46.0
23817,,山,46.0
23818,,山,46.0
23819,山,山,46.0
23820,,山,46.0
23821,,山,46.0
23822,危,山,46.0
23823,山,山,46.0
23824,山,山,46.0
23825,山,山,46.0
23826,山,山,46.0
23827,,山,46.0
23828,山,山,46.0
23829,屵,山,46.0
23830,屵,山,46.0
23831,山,山,46.0
23832,山,山,46.0
23833,山,山,46.0
23834,,山,46.0
23835,山,山,46.0
23836,,山,46.0
23837,山,山,46.0
23838,山,山,46.0
23839,山,山,46.0
23840,,山,46.0
23841,,山,46.0
23842,山,山,46.0
23843,,山,46.0
23844,,山,46.0
23845,,山,46.0
23846,,山,46.0
23847,山,山,46.0
23848,,山,46.0
23849,山,山,46.0
