unicode,seal_radical,trad_radical,simp_radical
20248,人,人,9.0
20249,多,夕,9.0
20250,會,曰,9.0
20251,人,人,9.0
20252,人,人,9.0
20253,,,9.0
20254,,人,9.0
20255,人,人,9.0
20256,人,人,9.0
20257,,,9.0
20258,,牙,9.0
20259,人,人,9.0
20260,人,人,9.0
20261,人,人,9.0
20262,人,人,9.0
20263,,人,9.0
20264,,彳,9.0
20265,,,9.0
20266,人,人,9.0
20267,人,人,9.0
20268,,,9.0
20269,人,人,9.0
20270,,人,9.0
20271,人,人,9.0
20272,,人,9.0
20273,,人,9.0
20274,,人,9.0
20275,,人,9.0
20276,人,人,9.0
20277,,人,9.0
20278,人,人,9.0
20279,,人,9.0
20280,人,人,9.0
20281,人,人,9.0
20282,人,人,9.0
20283,,人,9.0
20284,人,人,9.0
20285,,人,9.0
20286,人,人,9.0
20287,人,人,9.0
20288,人,人,9.0
20289,人,人,9.0
20290,,人,9.0
20291,人,人,9.0
20292,,人,9.0
20293,,人,9.0
20294,人,人,9.0
20295,人,人,9.0
20296,,人,9.0
20297,,人,9.0
20298,,人,9.0
20299,人,人,9.0
20300,,人,9.0
20301,人,人,9.0
20302,人,人,9.0
20303,,人,9.0
20304,左,人,9.0
20305,口,人,9.0
20306,,人,9.0
20307,骨,人,9.0
20308,,人,9.0
20309,人,人,9.0
20310,人,人,9.0
20311,人,人,9.0
20312,,人,9.0
20313,八,人,9.0
20314,人,人,9.0
20315,人,人,9.0
20316,人,人,9.0
20317,人,人,9.0
20318,女,人,9.0
20319,,人,9.0
20320,,人,9.0
20321,,人,9.0
20322,,人,9.0
20323,人,人,9.0
20324,,,9.0
20325,亼,人,9.0
20326,,,9.0
20327,,,9.0
20328,,,9.0
20329,人,人,9.0
20330,,人,9.0
20331,,人,9.0
20332,,人,9.0
20333,,人,9.0
20334,人,人,9.0
20335,,人,9.0
20336,人,人,9.0
20337,廌,人,9.0
20338,,人,9.0
20339,人,人,9.0
20340,人,人,9.0
20341,人,人,9.0
20342,人,人,9.0
20343,,人,9.0
20344,人,人,9.0
20345,,人,9.0
20346,人,人,9.0
20347,人,人,9.0
20348,人,人,9.0
20349,人,人,9.0
20350,人,人,9.0
20351,人,人,9.0
20352,,人,9.0
20353,人,人,9.0
20354,人,人,9.0
20355,川,人,9.0
20356,女,人,9.0
20357,人,人,9.0
20358,來,人,9.0
20359,,人,9.0
20360,人,人,9.0
20361,人,人,9.0
20362,人,人,9.0
20363,人,人,9.0
20364,雲,人,9.0
20365,人,人,9.0
20366,攴,人,9.0
20367,,人,9.0
20368,人,人,9.0
20369,女,人,9.0
20370,人,人,9.0
20371,,人,9.0
20372,人,人,9.0
20373,,人,9.0
20374,亼,人,9.0
20375,人,人,9.0
20376,,人,9.0
20377,人,人,9.0
20378,人,人,9.0
20379,人,人,9.0
20380,人,人,9.0
20381,人,人,9.0
20382,,人,9.0
20383,,人,9.0
20384,人,人,9.0
20385,,人,9.0
20386,,,9.0
20387,人,人,9.0
20388,,,9.0
20389,人,人,9.0
20390,人,人,9.0
20391,人,人,9.0
20392,人,人,9.0
20393,人,人,9.0
20394,人,人,9.0
20395,,人,9.0
20396,,人,9.0
20397,,人,9.0
20398,人,人,9.0
20399,矢,人,9.0
