codepoint,char,mid_initial,mid_final,mid_tone,old_initial,old_nucleus,old_coda,man_initial,man_final,man_tone,can_onset,can_nucleus,can_coda,can_tone
20010,个,ȵɰæm,,³³,k,a,̠ls,k,ɤ,4,k,ɔ:,,˧
20011,丫,ʔɰæ,,³³,,,,,ja,1,,a:,,˥
20012,丬,,,,,,,tɕʰ,jɑŋ,2,p,a:,n,˧˥
20013,中,ʈj,uŋ,³¹,k‧l,u,ŋs,ʈʂ,ʊŋ,1,ts,ʊ,ŋ,˥
20014,丮,kɰjæk̲̲,,³,kr,a,ɡ,tɕ,i,3,,,,
20015,丯,kɰ,ɛi,³¹,kr,e,̠ds,tɕ,je,4,,,,
20016,丰,pʰj,ʊŋ,³³,ph,o,ŋ,f,ɤŋ,1,f,ʊ,ŋ,˥
20017,丱,kʷɰæn,,³¹,kr,o,̠ns,k,wan,4,kw,a:,n,˧
20018,串,ʔ,ɨk̲̲,³,kr,o,̠ns,ʈʂʰ,wan,4,tsʰ,y:,n,˧
20019,丳,tʂʰɰ,ɛn,³⁵,,,,ʈʂʰ,an,3,tsʰ,a:,n,˧˥
20020,临,l,im,³³,,,,l,in,2,l,ɐ,m,˩˨
20021,丵,dʐɰɔk̲̲,,³,zr,o,̠wɡ,ʈʂ,uɔ,2,,,,
20022,丶,ʈj,ʊ,³⁵,t,o,ʔ,ʈʂ,u,3,ts,y:,,˧˥
20023,丷,ŋ,ɑt̲̲,³,,,,p,a,1,,,,
20024,丸,ɦʷ,ɑn,³¹,ɡl,o,̠n,,wan,2,j,y:,n,˧˥
20025,丹,t,ɑn,³³,t,a,̠n,t,an,1,t,a:,n,˥
20026,为,ɦʲʷ,iᴇ,³¹,,,,,,4,w,ɐi,,˩˨
20027,主,tɕj,ʊ,³¹,tj,o,ʔ,ʈʂ,u,3,ts,y:,,˧˥
20028,丼,ts,iᴇŋ,³⁵,sk,e,ŋʔ,tɕ,iŋ,3,ts,ɛ:,ŋ,˧˥
20029,丽,l,ei,³¹,b,ə,r,l,i,4,l,ɐi,,˨
20030,举,kj,ɤ,³⁵,,,,tɕ,y,3,k,ɵy,,˧˥
20031,丿,dz,iᴇŋ,³⁵,phl,e,̠d,pʰ,je,3,pʰ,i:,t,˧
20032,乀,pj,ut̲̲,³,ph,ɯ,d,f,u,2,,,,
20033,乁,,,,,,,,i,2,,,,
20034,乂,ŋj,ai,³¹,ŋ,a,ds,,i,4,ŋ,a:i,,˨
20035,乃,n,əi,³¹,n,ɯ,̠ʔ,n,ai,3,n,a:i,,˩˧
20036,乄,,,,,,,,u,3,,,,
20037,久,k,ɨu,³¹,kʷl,ɯ,ʔ,tɕ,,3,k,ɐu,,˧˥
20038,乆,k,ɨu,³⁵,,,,tɕ,,3,,,,
20039,乇,ʈɰæk̲̲,,³,k‧r,a,̠ɡ,tʰ,uɔ,1,tʰ,ɔ:,k,˧
20040,么,mʷ,ɑ,³⁵,,,,m,ɤ,e,j,i:u,,˥
20041,义,ŋɰ,iᴇ,³¹,,,,,i,4,j,i:,,˨
20042,乊,,,,,,,,i,1,,,,
20043,之,tɕ,ɨ,³³,klj,ɯ,,ʈʂ,i,1,ts,i:,,˥
20044,乌,ʔ,u̯o,³³,,,,,u,1,w,u:,,˥
20045,乍,dz,u̯o,³¹,zr,a,̠ɡs,ʈʂ,a,4,ts,a:,,˧
20046,乎,ɦ,u̯o,³³,ɡ,a,̠,x,u,1,f,u:,,˥
20047,乏,bj,ap̲̲,³,b,o,b,f,a,2,f,ɐ,t,˨
20048,乐,ŋɰɔk̲̲,,³,,,,l,ɤ,4,l,ɔ:,k,˨
20049,乑,ŋɰ,im,³³,,,,,in,2,,,,
20050,乒,,,,,,,pʰ,iŋ,1,p,ɪ,ŋ,˥
20051,乓,,,,,,,pʰ,ɑŋ,1,p,ɐ,m,˥
20052,乔,ɡɰ,iᴇu,³³,,,,tɕʰ,jɑʊ,2,kʰ,i:u,,˩˨
20053,乕,,,,,,,x,u,3,,,,
20054,乖,kʷɰ,ɛi,³³,kʷr,ɯ,̠l,k,wai,1,kw,a:i,,˥
20055,乗,ʑ,ɨŋ,³³,,,,ʈʂʰ,ɤŋ,2,,,,
20056,乘,ʑ,ɨŋ,³³,ɢlj,ɯ,ŋ,ʈʂʰ,ɤŋ,2,s,ɪ,ŋ,˩˨
20057,乙,ʔ,ɨt̲̲,³,qr,i,ɡ,,i,3,j,y:,t,˧
20058,乚,dz,iᴇŋ,³⁵,qr,i,ɡ,,in,3,,,,
20059,乛,ɡj,ɤ,³⁵,,,,,ja,a,,,,
20060,乜,mjæ,,³⁵,m,a,ʔ,m,je,1,m,ɐ,t,˥
20061,九,k,ɨu,³⁵,k,u,ʔ,tɕ,,3,k,ɐu,,˧˥
20062,乞,kʰ,ɨi,³¹,kh,ɯ,ds,tɕʰ,i,3,h,ɐ,t,˥
20063,也,j,iᴇ,³⁵,l,a,lʔ,,je,3,j,a:,,˩˧
20064,习,z,ip̲̲,³,,,,ɕ,i,2,ts,a:,p,˨
20065,乡,,,,,,,ɕ,jɑŋ,1,h,œ:,ŋ,˥
20066,乢,,,,,,,k,ai,4,,,,
20067,乣,,,,,,,tɕ,,3,,,,
20068,乤,,,,,,,ɕ,ja,4,,,,
20069,乥,,,,,,,x,u,4,,,,
20070,书,ɕj,ɤ,³³,,,,ʂ,u,1,s,y:,,˥
20071,乧,,,,,,,t,oʊ,3,,,,
20072,乨,ɕ,ɨ,³⁵,,,,ʂ,i,3,,,,
20073,乩,k,ei,³³,,,,tɕ,i,1,k,ei,,˥
20074,乪,,,,,,,n,ɑŋ,2,kʰ,ɛ:,k,˨
20075,乫,,,,,,,tɕ,ja,1,,,,
