codepoint,char,middle_chinese,initial,final,tone,old_initial,old_nucleus,old_coda
20057,乙,ʔɨt³̲³̲,ʔ,ɨt̲̲,³,qr,i,ɡ
20058,乚,dziᴇŋ³⁵,dz,iᴇŋ,³⁵,qr,i,ɡ
20059,乛,ɡjɤ³⁵,ɡj,ɤ,³⁵,,,
20060,乜,mjæ³⁵,mjæ,,³⁵,m,a,ʔ
20061,九,kɨu³⁵,k,ɨu,³⁵,k,u,ʔ
20062,乞,kʰɨi³¹,kʰ,ɨi,³¹,kh,ɯ,ds
20063,也,jiᴇ³⁵,j,iᴇ,³⁵,l,a,lʔ
20064,习,zip³̲³̲,z,ip̲̲,³,,,
20065,乡,,,,,,,
20066,乢,,,,,,,
20067,乣,,,,,,,
20068,乤,,,,,,,
20069,乥,,,,,,,
20070,书,ɕjɤ³³,ɕj,ɤ,³³,,,
20071,乧,,,,,,,
20072,乨,ɕɨ³⁵,ɕ,ɨ,³⁵,,,
20073,乩,kei³³,k,ei,³³,,,
20074,乪,,,,,,,
20075,乫,,,,,,,
20076,乬,,,,,,,
20077,乭,,,,,,,
20078,乮,,,,,,,
20079,乯,,,,,,,
20080,买,mɰɛ³⁵,mɰ,ɛ,³⁵,,,
20081,乱,lʷɑn³¹,lʷ,ɑn,³¹,,,
20082,乲,,,,,,,
20083,乳,ȵjʊ³¹,ȵj,ʊ,³¹,nj,o,ʔ
20084,乴,zʷiᴇt³̲³̲,zʷ,iᴇt̲̲,³,,,
20085,乵,,,,,,,
20086,乶,,,,,,,
20087,乷,,,,,,,
20088,乸,,,,,,,
20089,乹,,,,,,,
20090,乺,,,,,,,
20091,乻,,,,,,,
20092,乼,,,,,,,
20093,乽,,,,,,,
20094,乾,kɑn³³,k,ɑn,³³,ɡr,a,n
20095,乿,ɖɨ³³,ɖ,ɨ,³³,,,
20096,亀,,,,,,,
20097,亁,,,,,,,
20098,亂,lʷɑn³¹,lʷ,ɑn,³¹,ɡ,ə,r
20099,亃,,,,,,,
20100,亄,ʔɰit³̲³̲,ʔɰ,it̲̲,³,qr,i,ɡ
20101,亅,ʈʰiᴇt³̲³̲,ʈʰ,iᴇt̲̲,³,ɡ,o,d
20102,了,leu³⁵,l,eu,³⁵,r,e,̠wʔ
20103,亇,,,,,,,
20104,予,jɤ³⁵,j,ɤ,³⁵,ɢl,a,ʔ
20105,争,tʂɰɛŋ³³,tʂɰ,ɛŋ,³³,sr,e,̠ŋ
20106,亊,,,,,,,
20107,事,tʂɨ³¹,tʂ,ɨ,³¹,skr,ɯ,s
20108,二,ȵi³¹,ȵ,i,³¹,nj,i,s
20109,亍,ʈʰjʊk³̲³̲,ʈʰj,ʊk̲̲,³,th,o,ɡ
20110,于,ɦʲjʊ³³,ɦʲj,ʊ,³³,ɢʷ,a,
20111,亏,kʰʷɰiᴇ³³,kʰʷɰ,iᴇ,³³,ɢʷ,a,
20112,亐,ɦʲjʊ³³,ɦʲj,ʊ,³³,,,
20113,云,ɦʲjun³³,ɦʲj,un,³³,ɢʷ,ɯ,n
20114,互,ɦu̯o³¹,ɦ,u̯o,³¹,ɡ,a,̠s
20115,亓,ɡɨ³³,ɡ,ɨ,³³,ɡ,ɯ,
20116,五,ŋu̯o³⁵,ŋ,u̯o,³⁵,s,ə,ŋ
20117,井,tsiᴇŋ³⁵,ts,iᴇŋ,³⁵,sk,e,ŋʔ
20118,亖,si³¹,s,i,³¹,l̥j,i,ds
20119,亗,,,,,,,
20120,亘,kəŋ³¹,k,əŋ,³¹,k,ɯ,̠ŋs
20121,亙,kəŋ³¹,k,əŋ,³¹,k,ɯ,̠ŋs
20122,亚,ʔɰæ³¹,ʔɰæ,,³¹,,,
20123,些,sei³¹,s,ei,³¹,sl,a,̠ls
20124,亜,,,,,,,
20125,亝,dzei³³,dz,ei,³³,z,i,̠l
20126,亞,ʔɰæ³³,ʔɰæ,,³³,qr,a,̠ɡs
20127,亟,kʰɨ³¹,kʰ,ɨ,³¹,kh,ɯ,ɡs
20128,亠,,,,,,,
20129,亡,mʷjaŋ³³,mʷj,aŋ,³³,m,a,ŋ
20130,亢,kʰɰæŋ³³,kʰɰæŋ,,³³,kh,a,̠ŋs
20131,亣,,,,,th,a,̠d
20132,交,kɰæu³³,kɰæ,u,³³,kr,e,̠w
20133,亥,,,,,ɡ,ɯ,̠ʔ
20134,亦,jiᴇk³̲³̲,j,iᴇk̲̲,³,l,a,ɡ
20135,产,ʂɰɛn³⁵,ʂɰ,ɛn,³⁵,,,
20136,亨,hjaŋ³⁵,hj,aŋ,³⁵,qh,a,ŋʔ
20137,亩,,,,,,,
20138,亪,,,,,,,
20139,享,hɰæŋ³³,hɰæŋ,,³³,qh,a,ŋʔ
20140,京,kɰjæŋ³³,kɰjæŋ,,³³,kr,a,ŋ
20141,亭,deŋ³³,d,eŋ,³³,d,e,̠ŋ
20142,亮,ljaŋ³¹,lj,aŋ,³¹,ɡ,ə,r
20143,亯,hɰæŋ³³,hɰæŋ,,³³,qh,a,ŋʔ
20144,亰,,,,,,,
20145,亱,,,,,,,
20146,亲,tsʰin³¹,tsʰ,in,³¹,,,
20147,亳,bɑk³̲³̲,b,ɑk̲̲,³,bɡl,a,̠ɡ
20148,亴,,,,,,,
20149,亵,,,,,,,
20150,亶,,,,,t,a,̠nʔ
20151,亷,,,,,,,
20152,亸,tɑ³⁵,t,ɑ,³⁵,,,
20153,亹,mʷɨi³⁵,mʷ,ɨi,³⁵,m,ɯ,̠n
20154,人,ȵɰæm³³,ȵɰæm,,³³,nj,i,n
20155,亻,ʔɨk³̲³̲,ʔ,ɨk̲̲,³,,,
20156,亼,zip³̲³̲,z,ip̲̲,³,z,u,b
20157,亽,,,,,,,
20158,亾,,,,,,,
20159,亿,ʔɨk³̲³̲,ʔ,ɨk̲̲,³,,,
20160,什,dʑip³̲³̲,dʑ,ip̲̲,³,ɡj,u,b
20161,仁,ȵin³³,ȵ,in,³³,nj,i,n
20162,仂,lɨk³̲³̲,l,ɨk̲̲,³,r,ɯ,ɡ
20163,仃,teŋ³⁵,t,eŋ,³⁵,,,
20164,仄,tʂɨk³̲³̲,tʂ,ɨk̲̲,³,sr,ɯ,ɡ
20165,仅,ɡɰin³¹,ɡɰ,in,³¹,,,
20166,仆,pʰu³¹,pʰ,u,³¹,ph,u,s
20167,仇,kjʊ³³,kj,ʊ,³³,ɡ,u,
20168,仈,,,,,,,
20169,仉,tɕjaŋ³⁵,tɕj,aŋ,³⁵,tj,a,ŋʔ
20170,今,kɰim³³,kɰ,im,³³,kr,ɯ,m
