codepoint,char,middle_chinese,initial,final,tone,old_initial,old_nucleus,old_coda
25551,描,mɰiᴇu³³,mɰ,iᴇu,³³,,,
25552,提,dei³¹,d,ei,³¹,ɡ‧l,e,̠
25553,揑,,,,,,,
25554,插,tʂɰɛp³̲³̲,tʂɰ,ɛp̲̲,³,skhr,e,̠b
25555,揓,ɕiᴇ³¹,ɕ,iᴇ,³¹,,,
25556,揔,suŋ³³,s,uŋ,³³,sk,o,̠ŋʔ
25557,揕,ʈim³³,ʈ,im,³³,k‧l,u,ms
25558,揖,dzip³̲³̲,dz,ip̲̲,³,q,i,b
25559,揗,zʷin³¹,zʷ,in,³¹,ɢlj,u,ns
25560,揘,ɦʲʷɰjæŋ³³,ɦʲʷɰjæŋ,,³³,,,
25561,揙,piᴇn³⁵,p,iᴇn,³⁵,p,e,n
25562,揚,jaŋ³³,j,aŋ,³³,l,a,ŋ
25563,換,ɦʷɑn³¹,ɦʷ,ɑn,³¹,ɡ,o,̠ns
25564,揜,ʔɑm³⁵,ʔ,ɑm,³⁵,q,a,̠mʔ
25565,揝,tsəm³⁵,ts,əm,³⁵,,,
25566,揞,ʔəm³¹,ʔ,əm,³¹,qr,ɯ,̠ms
25567,揟,tsjɤ³³,tsj,ɤ,³³,sŋ,a,
25568,揠,ʔɰɛt³̲³̲,ʔɰ,ɛt̲̲,³,qr,a,̠d
25569,握,ʔuk³̲³̲,ʔ,uk̲̲,³,qr,o,̠ɡ
25570,揢,kʰɰæ³³,kʰɰæ,,³³,,,
25571,揣,ʑʷiᴇn³¹,ʑʷ,iᴇn,³¹,k‧l,o,̠lʔ
25572,揤,tʂɪt³̲³̲,tʂ,ɪt̲̲,³,z,i,ɡ
25573,揥,tʰek³̲³̲,tʰ,ek̲̲,³,k‧l,e,̠
25574,揦,lɑt³̲³̲,l,ɑt̲̲,³,,,
25575,揧,lɑt³̲³̲,l,ɑt̲̲,³,,,
25576,揨,ɖɰɛŋ³³,ɖɰ,ɛŋ,³³,rd,e,̠ŋ
25577,揩,kʰɰɛi³¹,kʰɰ,ɛi,³¹,khr,i,̠l
25578,揪,,,,,,,
25579,揫,dzɨu³³,dz,ɨu,³³,s,ɯ,w
25580,揬,du̯ot³̲³̲,d,u̯ot̲̲,³,,,
25581,揭,kʰʷɰiᴇt³̲³̲,kʰʷɰ,iᴇt̲̲,³,k,a,d
25582,揮,hʷɨi³³,hʷ,ɨi,³³,qh,u,l
25583,揯,kəŋ³¹,k,əŋ,³¹,k,ɯ,̠ŋs
25584,揰,tjʊŋ³⁵,tj,ʊŋ,³⁵,,,
25585,揱,ʂɰæu³¹,ʂɰæ,u,³¹,spr,e,̠wɡs
25586,揲,ɕiᴇt³̲³̲,ɕ,iᴇt̲̲,³,ɡ‧l,e,̠b
25587,揳,siᴇt³̲³̲,s,iᴇt̲̲,³,skl,e,̠d
25588,援,ɦʲʷiᴇn³¹,ɦʲʷ,iᴇn,³¹,ɢr,o,n
25589,揵,ɡɰiᴇn³³,ɡɰ,iᴇn,³³,k,a,nʔ
25590,揶,,,,,ɢ,a,
25591,揷,,,,,,,
25592,揸,,,,,,,
25593,揹,,,,,,,
25594,揺,,,,,,,
25595,揻,,,,,,,
25596,揼,,,,,,,
25597,揽,lɑm³⁵,l,ɑm,³⁵,,,
25598,揾,ʔɨn³⁵,ʔ,ɨn,³⁵,,,
25599,揿,,,,,,,
25600,搀,tʂʰɰæm³³,tʂʰɰæm,,³³,,,
25601,搁,,,,,,,
25602,搂,lu³³,l,u,³³,,,
25603,搃,,,,,,,
25604,搄,kəŋ³³,k,əŋ,³³,k,ɯ,̠ŋs
25605,搅,kɰæu³⁵,kɰæ,u,³⁵,,,
25606,搆,ku³¹,k,u,³¹,k,o,̠s
25607,搇,kʰɰim³¹,kʰɰ,im,³¹,khr,ɯ,ms
25608,搈,jʊŋ³⁵,j,ʊŋ,³⁵,ɢl,o,ŋ
25609,搉,hʷɑk³̲³̲,hʷ,ɑk̲̲,³,khr,o,̠wɡ
25610,搊,tʂʰɨu³³,tʂʰ,ɨu,³³,sr,u,ʔ
25611,搋,jiᴇ³³,j,iᴇ,³³,kh‧r,e,̠
25612,搌,ʈiᴇn³⁵,ʈ,iᴇn,³⁵,,,
25613,損,su̯on³⁵,s,u̯on,³⁵,sqh,u,̠nʔ
25614,搎,su̯on³³,s,u̯on,³³,,,
25615,搏,pʰɑk³̲³̲,pʰ,ɑk̲̲,³,p,a,̠ɡ
25616,搐,ʈʰjuk³̲³̲,ʈʰj,uk̲̲,³,kh‧l,u,ɡ
25617,搑,ȵjʊŋ³⁵,ȵj,ʊŋ,³⁵,nj,o,ŋʔ
25618,搒,pɑŋ³³,p,ɑŋ,³³,br,a,̠ŋ
25619,搓,dʐɰæ³³,dʐɰæ,,³³,,,
25620,搔,sɑu³¹,s,ɑu,³¹,sl,u,̠
25621,搕,ʔɑp³̲³̲,ʔ,ɑp̲̲,³,,,
25622,搖,jiᴇu³¹,j,iᴇu,³¹,,,
25623,搗,,,,,t,u,̠wʔ
25624,搘,,,,,kj,e,
25625,搙,nu̯ok³̲³̲,n,u̯ok̲̲,³,rn,o,̠ɡ
25626,搚,ləp³̲³̲,l,əp̲̲,³,ɡ,ə,r
25627,搛,kem³³,k,em,³³,,,
25628,搜,ʂɨu³³,ʂ,ɨu,³³,sr,u,
25629,搝,kʰɨu³⁵,kʰ,ɨu,³⁵,,,
25630,搞,kʰɰæu³³,kʰɰæ,u,³³,,,
25631,搟,hjɤn³⁵,hj,ɤn,³⁵,qh,a,nʔ
25632,搠,ʂɰɔk³̲³̲,ʂɰɔk̲̲,,³,,,
25633,搡,sɑŋ³¹,s,ɑŋ,³¹,,,
25634,搢,,,,,s,i,ns
25635,搣,miᴇt³̲³̲,m,iᴇt̲̲,³,m,e,d
25636,搤,ʔɰɛ³¹,ʔɰ,ɛ,³¹,qr,e,̠ɡs
25637,搥,tu̯oi³³,t,u̯oi,³³,t,u,̠l
25638,搦,ɳɰɔk³̲³̲,ɳɰɔk̲̲,,³,rn,a,̠ɡ
25639,搧,ɕiᴇn³¹,ɕ,iᴇn,³¹,,,
25640,搨,tɑp³̲³̲,t,ɑp̲̲,³,,,
25641,搩,ɡʷɰiᴇt³̲³̲,ɡʷɰ,iᴇt̲̲,³,,,
25642,搪,tʰɑŋ³³,tʰ,ɑŋ,³³,ɡ‧l,a,̠ŋ
25643,搫,bʷɑ³³,bʷ,ɑ,³³,b,a,̠l
25644,搬,,,,,,,
25645,搭,tʰɑp³̲³̲,tʰ,ɑp̲̲,³,,,
25646,搮,lit³̲³̲,l,it̲̲,³,,,
25647,搯,tʰɑu³³,tʰ,ɑu,³³,l̥,u,̠
25648,搰,ɦu̯ot³̲³̲,ɦ,u̯ot̲̲,³,ɡ,u,̠d
25649,搱,ɖi³¹,ɖ,i,³¹,,,
25650,搲,ʔʷɰæ³³,ʔʷɰæ,,³³,,,
25651,搳,ɦɰæt³̲³̲,ɦɰæt̲̲,,³,ɡr,a,̠d
25652,搴,kɰiᴇn³³,kɰ,iᴇn,³³,khr,a,n
25653,搵,ʔjun³⁵,ʔj,un,³⁵,q,u,̠ns
25654,搶,tsʰjaŋ³³,tsʰj,aŋ,³³,sh,a,ŋ
25655,搷,ʈʰin³³,ʈʰ,in,³³,ɡ‧l,i,̠n
25656,搸,tsin³³,ts,in,³³,,,
25657,搹,ʔɰɛk³̲³̲,ʔɰ,ɛk̲̲,³,kr,e,̠ɡ
25658,携,ɦʷei³³,ɦʷ,ei,³³,ɢʷ,e,̠
25659,搻,,,,,,,
25660,搼,,,,,,,
25661,搽,,,,,,,
25662,搾,,,,,,,
25663,搿,,,,,,,
25664,摀,,,,,,,
25665,摁,,,,,,,
25666,摂,,,,,,,
25667,摃,,,,,,,
25668,摄,ɕiᴇp³̲³̲,ɕ,iᴇp̲̲,³,,,
25669,摅,,,,,,,
25670,摆,pɰɛ³⁵,pɰ,ɛ,³⁵,,,
25671,摇,jiᴇu³³,j,iᴇu,³³,l,e,ws
25672,摈,,,,,,,
25673,摉,,,,,,,
25674,摊,tʰɑn³³,tʰ,ɑn,³³,,,
25675,摋,ʂɰɛt³̲³̲,ʂɰ,ɛt̲̲,³,sl,a,̠d
25676,摌,ʂɰɛn³⁵,ʂɰ,ɛn,³⁵,,,
25677,摍,ʂjuk³̲³̲,ʂj,uk̲̲,³,sr,u,ɡ
25678,摎,lɨu³³,l,ɨu,³³,kr,ɯ,̠w
25679,摏,ɕjʊŋ³³,ɕj,ʊŋ,³³,qhlj,o,ŋ
25680,摐,tsʰjʊŋ³³,tsʰj,ʊŋ,³³,shr,o,̠ŋ
25681,摑,kʷɰɛk³̲³̲,kʷɰ,ɛk̲̲,³,kʷr,ɯ,̠ɡ
25682,摒,piᴇŋ³¹,p,iᴇŋ,³¹,,,
25683,摓,bjʊŋ³³,bj,ʊŋ,³³,b,o,ŋs
25684,摔,,,,,,,
25685,摕,dei³¹,d,ei,³¹,d,e,̠d
25686,摖,tsʰei³¹,tsʰ,ei,³¹,skh,e,̠ds
25687,摗,su³³,s,u,³³,,,
25688,摘,ʈɰɛk³̲³̲,ʈɰ,ɛk̲̲,³,k‧r,e,̠ɡ
25689,摙,liᴇn³⁵,l,iᴇn,³⁵,,,
25690,摚,ɖɰæŋ³³,ɖɰæŋ,,³³,,,
25691,摛,ʈʰiᴇ³³,ʈʰ,iᴇ,³³,ph‧r,e,l
25692,摜,kʷɰæn³¹,kʷɰæn,,³¹,kr,o,̠ns
25693,摝,luk³̲³̲,l,uk̲̲,³,b,ə,r
25694,摞,lʷɑ³¹,lʷ,ɑ,³¹,,,
25695,摟,lu³³,l,u,³³,ɡ,ə,r
25696,摠,tsuŋ³⁵,ts,uŋ,³⁵,sk,o,̠ŋʔ
25697,摡,kəi³¹,k,əi,³¹,qh,ɯ,ds
25698,摢,ɦu̯o³¹,ɦ,u̯o,³¹,,,
25699,摣,ɳɰæ³³,ɳɰæ,,³³,skr,a,̠
25700,摤,tsʰjaŋ³⁵,tsʰj,aŋ,³⁵,,,
25701,摥,tʰɑŋ³¹,tʰ,ɑŋ,³¹,,,
25702,摦,ɦʷɰæ³³,ɦʷɰæ,,³³,ɡʷr,a,̠s
25703,摧,tsʷi³³,tsʷ,i,³³,sɡ,u,̠l
25704,摨,ɳɰɛi³³,ɳɰ,ɛi,³³,,,
25705,摩,mʷɑ³¹,mʷ,ɑ,³¹,m,a,̠ls
25706,摪,tsʰjaŋ³¹,tsʰj,aŋ,³¹,,,
25707,摫,kʷiᴇ³³,kʷ,iᴇ,³³,kʷ,e,l
25708,摬,ɡjaŋ³⁵,ɡj,aŋ,³⁵,qr,a,ŋʔ
25709,摭,ɕiᴇk³̲³̲,ɕ,iᴇk̲̲,³,klj,a,ɡ
25710,摮,ŋɰæu³³,ŋɰæ,u,³³,ŋɡ,a,̠w
25711,摯,tɕi³¹,tɕ,i,³¹,klj,i,bs
25712,摰,,,,,ŋ,e,̠d
25713,摱,mɰæn³¹,mɰæn,,³¹,,,
25714,摲,dziᴇm³⁵,dz,iᴇm,³⁵,shr,a,̠ms
25715,摳,ʔu³⁵,ʔ,u,³⁵,kh,o,
25716,摴,ʈʰɨ³³,ʈʰ,ɨ,³³,,,
25717,摵,ʂjuk³̲³̲,ʂj,uk̲̲,³,sqr,ɯ,wɡ
25718,摶,ɖʷiᴇn³⁵,ɖʷ,iᴇn,³⁵,d,o,nʔ
25719,摷,tsiᴇu³⁵,ts,iᴇu,³⁵,skr,a,̠w
25720,摸,mu̯o³³,m,u̯o,³³,m,a,̠ɡ
25721,摹,mu̯o³³,m,u̯o,³³,m,a,̠
25722,摺,tɕiᴇp³̲³̲,tɕ,iᴇp̲̲,³,klj,o,b
25723,摻,ʂim³³,ʂ,im,³³,sr,u,̠m
25724,摼,kʰɰæŋ³⁵,kʰɰæŋ,,³⁵,khr,i,̠ŋ
25725,摽,pʰek³̲³̲,pʰ,ek̲̲,³,ph,e,w
25726,摾,ɡjaŋ³¹,ɡj,aŋ,³¹,,,
25727,摿,,,,,qr,ɯ,m
25728,撀,,,,,,,
25729,撁,,,,,,,
25730,撂,,,,,,,
25731,撃,,,,,,,
25732,撄,,,,,,,
25733,撅,kʷjɤt³̲³̲,kʷj,ɤt̲̲,³,ɡ,o,d
25734,撆,pʰet³̲³̲,pʰ,et̲̲,³,ph,e,̠d
25735,撇,pet³̲³̲,p,et̲̲,³,ph,e,̠d
25736,撈,leu³³,l,eu,³³,ɡ,ə,r
25737,撉,tu̯on³³,t,u̯on,³³,,,
25738,撊,ɦɰæn³⁵,ɦɰæn,,³⁵,ɡr,e,̠nʔ
25739,撋,nʷɑ³³,nʷ,ɑ,³³,,,
25740,撌,,,,,kh,u,ds
25741,撍,tʂim³³,tʂ,im,³³,,,
25742,撎,ʔɨ³¹,ʔ,ɨ,³¹,qr,i,ɡs
25743,撏,dʑiᴇm³³,dʑ,iᴇm,³³,sɢl,u,m
25744,撐,ʈɰæŋ³³,ʈɰæŋ,,³³,,,
25745,撑,,,,,,,
25746,撒,sɑt³̲³̲,s,ɑt̲̲,³,,,
25747,撓,heu³³,h,eu,³³,mɡl,e,̠w
25748,撔,ɦʷɰæŋ³⁵,ɦʷɰæŋ,,³⁵,,,
25749,撕,sei³³,s,ei,³³,sqh,e,̠
25750,撖,kʰɰɛm³⁵,kʰɰ,ɛm,³⁵,,,
25751,撗,kʷɑŋ³¹,kʷ,ɑŋ,³¹,ɡʷ,a,̠ŋs
25752,撘,təp³̲³̲,t,əp̲̲,³,,,
25753,撙,tsu̯on³⁵,ts,u̯on,³⁵,s,u,̠nʔ
25754,撚,nen³⁵,n,en,³⁵,n,e,̠nʔ
25755,撛,lin³¹,l,in,³¹,,,
25756,撜,dʑɨŋ³¹,dʑ,ɨŋ,³¹,tj,ɯ,ŋʔ
25757,撝,hʷɰiᴇ³³,hʷɰ,iᴇ,³³,qhʷr,a,l
25758,撞,ɖɰɔŋ³¹,ɖɰɔŋ,,³¹,rd,o,̠ŋ
25759,撟,ɡɰiᴇu³¹,ɡɰ,iᴇu,³¹,kr,e,wʔ
25760,撠,kɰjæk³̲³̲,kɰjæk̲̲,,³,kr,a,ɡ
25761,撡,,,,,,,
25762,撢,dəm³¹,d,əm,³¹,kh‧l,ɯ,̠m
25763,撣,dɑn³³,d,ɑn,³³,dj,a,n
25764,撤,ʈʰiᴇt³̲³̲,ʈʰ,iᴇt̲̲,³,th,e,d
25765,撥,bʷɑt³̲³̲,bʷ,ɑt̲̲,³,p,a,̠d
25766,撦,tɕʰjæ³⁵,tɕʰjæ,,³⁵,,,
25767,撧,,,,,,,
25768,撨,seu³¹,s,eu,³¹,,,
25769,撩,leu³¹,l,eu,³¹,ɡ,ə,r
25770,撪,,,,,,,
25771,撫,pʰjʊ³⁵,pʰj,ʊ,³⁵,m̥,a,ʔ
25772,撬,kʰeu³³,kʰ,eu,³³,,,
25773,播,pʰʷjɤn³³,pʰʷj,ɤn,³³,p,a,̠ls
25774,撮,tʂʰɰɛ³⁵,tʂʰɰ,ɛ,³⁵,skh,o,̠d
25775,撯,,,,,,,
25776,撰,sʷiᴇn³¹,sʷ,iᴇn,³¹,sɡr,o,̠nʔ
25777,撱,jʷiᴇ³⁵,jʷ,iᴇ,³⁵,ɢl,o,lʔ
25778,撲,pʰuk³̲³̲,pʰ,uk̲̲,³,br,o,̠ɡ
25779,撳,,,,,,,
25780,撴,,,,,,,
25781,撵,,,,,,,
25782,撶,,,,,,,
25783,撷,,,,,,,
25784,撸,,,,,,,
25785,撹,,,,,,,
25786,撺,,,,,,,
25787,撻,tʰɑt³̲³̲,tʰ,ɑt̲̲,³,th,a,̠d
25788,撼,ɦəm³⁵,ɦ,əm,³⁵,ɡ,ɯ,̠mʔ
25789,撽,keu³³,k,eu,³³,kh,e,̠ws
25790,撾,ʈʷɰæ³³,ʈʷɰæ,,³³,k‧r,o,̠l
25791,撿,liᴇm³⁵,l,iᴇm,³⁵,ɡ,ə,r
25792,擀,kɑn³⁵,k,ɑn,³⁵,,,
25793,擁,ʔjʊŋ³⁵,ʔj,ʊŋ,³⁵,q,o,ŋʔ
25794,擂,,,,,,,
25795,擃,ɳɰɔŋ³⁵,ɳɰɔŋ,,³⁵,,,
25796,擄,lu̯o³⁵,l,u̯o,³⁵,ɡ,ə,r
25797,擅,dʑiᴇn³¹,dʑ,iᴇn,³¹,dj,a,ns
25798,擆,ʈjak³̲³̲,ʈj,ak̲̲,³,,,
25799,擇,ɖɰæk³̲³̲,ɖɰæk̲̲,,³,ɡ‧r,a,̠ɡ
25800,擈,,,,,,,
25801,擉,tʂɰɔk³̲³̲,tʂɰɔk̲̲,,³,skhr,o,̠ɡ
25802,擊,kei³¹,k,ei,³¹,k,e,̠ɡ
25803,擋,tɑŋ³¹,t,ɑŋ,³¹,k‧l,a,̠ŋs
25804,擌,ʂɰɛk³̲³̲,ʂɰ,ɛk̲̲,³,,,
25805,操,tsʰɑu³³,tsʰ,ɑu,³³,sh,a,̠w
25806,擎,ɡɰjæŋ³³,ɡɰjæŋ,,³³,ɡr,e,ŋ
25807,擏,kɰjæŋ³⁵,kɰjæŋ,,³⁵,ɡ,e,ŋ
25808,擐,kʷɰæn³¹,kʷɰæn,,³¹,kʷr,e,̠n
25809,擑,tsiᴇp³̲³̲,ts,iᴇp̲̲,³,,,
25810,擒,ɡɰim³³,ɡɰ,im,³³,ɡr,ɯ,m
25811,擓,kʰʷɰɛi³³,kʰʷɰ,ɛi,³³,khr,u,̠l
25812,擔,dʑiᴇm³¹,dʑ,iᴇm,³¹,k‧l,a,̠m
25813,擕,,,,,,,
25814,擖,jiᴇp³̲³̲,j,iᴇp̲̲,³,kr,a,̠d
25815,擗,biᴇk³̲³̲,b,iᴇk̲̲,³,b,e,ɡ
25816,擘,pɰɛk³̲³̲,pɰ,ɛk̲̲,³,pr,e,̠ɡ
25817,擙,,,,,,,
25818,據,kjɤ³¹,kj,ɤ,³¹,kl,a,s
25819,擛,jiᴇp³̲³̲,j,iᴇp̲̲,³,,,
25820,擜,,,,,,,
25821,擝,,,,,,,
25822,擞,,,,,,,
25823,擟,miᴇ³³,m,iᴇ,³³,ml,e,l
25824,擠,tsei³¹,ts,ei,³¹,s,i,̠ls
25825,擡,dəi³³,d,əi,³³,d,ɯ,̠
25826,擢,ɖɰɔk³̲³̲,ɖɰɔk̲̲,,³,ɡ‧r,e,̠wɡ
25827,擣,tɑu³⁵,t,ɑu,³⁵,k‧l,u,̠ʔ
25828,擤,,,,,,,
25829,擥,lɑm³⁵,l,ɑm,³⁵,ɡ,ə,r
25830,擦,,,,,skh,a,̠d
25831,擧,kjɤ³⁵,kj,ɤ,³⁵,ɢl,a,
25832,擨,jæ³³,jæ,,³³,,,
25833,擩,ȵjʊ³⁵,ȵj,ʊ,³⁵,nj,u,l
25834,擪,ʔiᴇp³̲³̲,ʔ,iᴇp̲̲,³,q,e,b
25835,擫,,,,,q,e,b
25836,擬,ŋɨ³⁵,ŋ,ɨ,³⁵,ŋɡ,ɯ,ʔ
25837,擭,ɦu̯o³¹,ɦ,u̯o,³¹,ɡʷ,a,̠ɡ
25838,擮,dzet³̲³̲,dz,et̲̲,³,,,
25839,擯,,,,,p,i,ns
25840,擰,,,,,,,
25841,擱,,,,,,,
25842,擲,ɖiᴇk³̲³̲,ɖ,iᴇk̲̲,³,d,e,ɡ
25843,擳,tʂɪt³̲³̲,tʂ,ɪt̲̲,³,,,
25844,擴,kʰʷɑk³̲³̲,kʰʷ,ɑk̲̲,³,ɡʷ,a,̠ŋs
25845,擵,,,,,,,
25846,擶,tsiᴇn³¹,ts,iᴇn,³¹,,,
25847,擷,het³̲³̲,h,et̲̲,³,ɡ,i,̠d
25848,擸,liᴇp³̲³̲,l,iᴇp̲̲,³,r,a,̠b
25849,擹,tʰɑn³³,tʰ,ɑn,³³,kh‧l,a,̠n
25850,擺,bɰɛ³⁵,bɰ,ɛ,³⁵,,,
25851,擻,su³⁵,s,u,³⁵,,,
25852,擼,,,,,,,
25853,擽,jak³̲³̲,j,ak̲̲,³,ɡ,ə,r
25854,擾,ȵiᴇu³⁵,ȵ,iᴇu,³⁵,nj,i,wʔ
25855,擿,tek³̲³̲,t,ek̲̲,³,ɡ‧l,e,ɡ
25856,攀,pʰɰæn³³,pʰɰæn,,³³,phr,a,̠n
25857,攁,jaŋ³⁵,j,aŋ,³⁵,,,
25858,攂,lu̯oi³³,l,u̯oi,³³,,,
25859,攃,tsʰɑt³̲³̲,tsʰ,ɑt̲̲,³,,,
25860,攄,ʈʰjɤ³³,ʈʰj,ɤ,³³,kh‧l,a,
25861,攅,dzʷɑn³¹,dzʷ,ɑn,³¹,z,o,̠ns
25862,攆,,,,,,,
25863,攇,hjɤn³⁵,hj,ɤn,³⁵,,,
25864,攈,pʰʷɨi³¹,pʰʷ,ɨi,³¹,k,u,ns
25865,攉,hʷɑk³̲³̲,hʷ,ɑk̲̲,³,qhʷ,a,̠ɡ
25866,攊,lek³̲³̲,l,ek̲̲,³,,,
25867,攋,,,,,b,ə,r
25868,攌,ɦɰæn³⁵,ɦɰæn,,³⁵,,,
25869,攍,jiᴇŋ³³,j,iᴇŋ,³³,l,e,ŋ
25870,攎,lu̯o³³,l,u̯o,³³,ɡ,ə,r
25871,攏,luŋ³³,l,uŋ,³³,ɡ,ə,r
25872,攐,kʰjɤn³³,kʰj,ɤn,³³,khr,a,n
25873,攑,kʰjɤn³³,kʰj,ɤn,³³,,,
25874,攒,tsɑn³¹,ts,ɑn,³¹,,,
25875,攓,kɰiᴇn³⁵,kɰ,iᴇn,³⁵,kr,a,nʔ
25876,攔,lɑn³³,l,ɑn,³³,,,
25877,攕,siᴇm³³,s,iᴇm,³³,sr,e,̠m
25878,攖,ʔiᴇŋ³³,ʔ,iᴇŋ,³³,q,e,ŋ
25879,攗,kʷin³¹,kʷ,in,³¹,mr,i,l
25880,攘,ȵjaŋ³¹,ȵj,aŋ,³¹,mlj,a,ŋs
25881,攙,dʐɰæm³¹,dʐɰæm,,³¹,zr,ɯ,̠m
25882,攚,,,,,,,
25883,攛,tsʰʷɑn³¹,tsʰʷ,ɑn,³¹,,,
25884,攜,ɦʷei³³,ɦʷ,ei,³³,ɢʷ,e,̠
25885,攝,ɕiᴇp³̲³̲,ɕ,iᴇp̲̲,³,qhlj,e,b
25886,攞,lɑ³³,l,ɑ,³³,,,
25887,攟,,,,,k,u,ns
25888,攠,mʷɑ³³,mʷ,ɑ,³³,mr,a,l
25889,攡,ʈʰiᴇ³³,ʈʰ,iᴇ,³³,b,ə,r
25890,攢,tsɑn³¹,ts,ɑn,³¹,s,o,̠nʔ
25891,攣,lʷiᴇn³¹,lʷ,iᴇn,³¹,ɡ,ə,r
25892,攤,nɑn³¹,n,ɑn,³¹,mɡl,a,̠ns
25893,攥,tsʷɑt³̲³̲,tsʷ,ɑt̲̲,³,,,
25894,攦,ʂɰiᴇ³⁵,ʂɰ,iᴇ,³⁵,b,ə,r
25895,攧,,,,,,,
25896,攨,ʔʷɰæ³¹,ʔʷɰæ,,³¹,,,
25897,攩,tɑŋ³⁵,t,ɑŋ,³⁵,kh‧l,a,̠ŋʔ
25898,攪,kɰæu³⁵,kɰæ,u,³⁵,kr,u,̠ʔ
25899,攫,,,,,kʷ,a,ɡ
25900,攬,lɑm³⁵,l,ɑm,³⁵,ɡ,ə,r
25901,攭,,,,,ɡ,ə,r
25902,攮,,,,,,,
25903,支,ɡiᴇ³³,ɡ,iᴇ,³³,kj,e,
25904,攰,kʷɰiᴇ³¹,kʷɰ,iᴇ,³¹,,,
25905,攱,kʷɰiᴇ³¹,kʷɰ,iᴇ,³¹,kʷr,e,ʔ
25906,攲,kʰɰiᴇ³³,kʰɰ,iᴇ,³³,kr,a,l
25907,攳,zim³³,z,im,³³,,,
25908,攴,pʰɰɔk³̲³̲,pʰɰɔk̲̲,,³,ph,o,̠ɡ
25909,攵,,,,,,,
25910,收,ɕɨu³¹,ɕ,ɨu,³¹,qhlj,ɯ,ws
25911,攷,kʰɑu³⁵,kʰ,ɑu,³⁵,kh,u,̠ʔ
25912,攸,jɨu³³,j,ɨu,³³,ɢl,ɯ,w
25913,改,kɨ³⁵,k,ɨ,³⁵,kl,ɯ,̠ʔ
25914,攺,zɨ³⁵,z,ɨ,³⁵,k,ɯ,̠ʔ
25915,攻,kuŋ³¹,k,uŋ,³¹,k,o,̠ŋ
25916,攼,ɦɑn³¹,ɦ,ɑn,³¹,,,
25917,攽,pɰæn³³,pɰæn,,³³,pr,ɯ,n
25918,放,pʷjaŋ³¹,pʷj,aŋ,³¹,p,a,ŋʔ
25919,政,tɕiᴇŋ³¹,tɕ,iᴇŋ,³¹,kj,e,ŋs
25920,敀,pʰɰæk³̲³̲,pʰɰæk̲̲,,³,phr,a,̠ɡ
25921,敁,tem³³,t,em,³³,,,
25922,敂,ku³⁵,k,u,³⁵,k,o,̠ʔ
25923,敃,pʰjun³³,pʰj,un,³³,mr,i,nʔ
25924,敄,mjʊ³⁵,mj,ʊ,³⁵,m,o,ʔ
25925,故,ku̯o³¹,k,u̯o,³¹,k,a,̠s
25926,敆,,,,,,,
25927,敇,,,,,shr,e,̠ɡ
25928,效,ɦɰæu³⁵,ɦɰæ,u,³⁵,ɡr,e,̠ws
25929,敉,pʰiᴇ³⁵,pʰ,iᴇ,³⁵,m,e,ʔ
25930,敊,ɕɨu³¹,ɕ,ɨu,³¹,kh‧l,ɯ,wɡ
25931,敋,,,,,,,
25932,敌,dek³̲³̲,d,ek̲̲,³,,,
25933,敍,,,,,,,
25934,敎,kɰæu³¹,kɰæ,u,³¹,,,
25935,敏,mɰi³⁵,mɰ,i,³⁵,mr,ɯ,ŋʔ
25936,敐,tɕin³⁵,tɕ,in,³⁵,plj,ɯ,nʔ
25937,救,kɨu³¹,k,ɨu,³¹,k,u,s
25938,敒,tɕʰʷin³³,tɕʰʷ,in,³³,ɡ‧l,i,ns
25939,敓,dʷɑt³̲³̲,dʷ,ɑt̲̲,³,,,
25940,敔,ŋjɤ³⁵,ŋj,ɤ,³⁵,ŋ,a,ʔ
25941,敕,tʂʰɰɛk³̲³̲,tʂʰɰ,ɛk̲̲,³,th,ɯ,ɡ
25942,敖,ŋɑu³³,ŋ,ɑu,³³,ŋɡ,a,̠w
25943,敗,bɰæi³¹,bɰæ,i,³¹,pr,a,̠ds
25944,敘,zjɤ³⁵,zj,ɤ,³⁵,sɢl,a,ʔ
25945,教,kɰæu³³,kɰæ,u,³³,kr,a,̠w
25946,敚,dʷɑt³̲³̲,dʷ,ɑt̲̲,³,ɡ‧l,o,̠d
25947,敛,liᴇm³⁵,l,iᴇm,³⁵,,,
25948,敜,net³̲³̲,n,et̲̲,³,mɡl,ɯ,̠b
25949,敝,bet³̲³̲,b,et̲̲,³,b,e,d
25950,敞,tɕʰjaŋ³⁵,tɕʰj,aŋ,³⁵,khlj,a,ŋʔ
25951,敟,ten³⁵,t,en,³⁵,t,ɯ,̠nʔ
25952,敠,tsʰʷiᴇt³̲³̲,tsʰʷ,iᴇt̲̲,³,,,
25953,敡,jiᴇ³¹,j,iᴇ,³¹,l,e,ɡs
25954,敢,kɑm³⁵,k,ɑm,³⁵,kl,a,̠mʔ
25955,散,sɑn³¹,s,ɑn,³¹,sqh,a,̠ns
25956,敤,kʰʷɑ³¹,kʰʷ,ɑ,³¹,khl,o,̠lʔ
25957,敥,jiᴇm³¹,j,iᴇm,³¹,,,
25958,敦,du̯on³⁵,d,u̯on,³⁵,k‧l,u,̠n
25959,敧,kɰiᴇ³⁵,kɰ,iᴇ,³⁵,,,
25960,敨,,,,,,,
25961,敩,,,,,,,
25962,敪,,,,,,,
25963,敫,jak³̲³̲,j,ak̲̲,³,kl,e,̠wɡ
